학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
초등학교,1학년,1,수학,1+1=?,2,1,3,4
초등학교,1학년,1,수학,2+1=?,3,2,1,4
초등학교,1학년,1,수학,3+1=?,4,1,2,3
초등학교,1학년,2,수학,2+2=?,4,3,6,8
초등학교,1학년,2,수학,1+2=?,3,2,4,5
초등학교,1학년,2,수학,3+2=?,5,4,6,7
초등학교,1학년,3,수학,1+3=?,4,3,5,6
초등학교,1학년,3,수학,2+3=?,5,4,6,7
초등학교,1학년,3,수학,3+3=?,6,4,5,7
초등학교,1학년,3,수학,1+4=?,5,4,6,7
초등학교,1학년,3,수학,2+4=?,6,4,5,7
초등학교,1학년,3,수학,3+4=?,7,5,6,8
초등학교,1학년,1,수학,4+4=?,8,6,7,9
초등학교,1학년,2,수학,2+5=?,7,5,6,8
초등학교,1학년,2,수학,3+5=?,8,6,7,9
초등학교,1학년,2,수학,5+5=?,10,8,9,11
초등학교,1학년,1,수학,1+5=?,6,5,7,8
초등학교,1학년,1,수학,4-2=?,2,3,4,5
초등학교,1학년,1,수학,5-2=?,3,2,4,5
초등학교,1학년,1,수학,3-1=?,2,3,4,5
초등학교,1학년,1,수학,4-1=?,3,2,4,5
초등학교,1학년,1,수학,5-1=?,4,3,5,6
초등학교,1학년,1,수학,4-3=?,1,2,3,4
초등학교,1학년,1,수학,5-3=?,2,3,4,5
초등학교,1학년,2,수학,4-0=?,4,0,6,8
초등학교,1학년,2,수학,5-0=?,5,0,4,6
초등학교,1학년,2,수학,3-0=?,3,0,4,5
초등학교,1학년,2,수학,2-0=?,2,0,4,5
초등학교,1학년,2,수학,1-0=?,1,0,2,3
초등학교,1학년,1,수학,4-4=?,0,1,2,3
초등학교,1학년,1,수학,1+6=?,7,5,6,8
초등학교,1학년,1,수학,2+6=?,8,7,9,10
초등학교,1학년,2,수학,3+6=?,9,7,8,10
초등학교,1학년,2,수학,4+6=?,10,8,9,11
초등학교,1학년,2,수학,5+6=?,11,9,10,12
초등학교,1학년,2,수학,6+6=?,12,10,11,13
초등학교,1학년,1,수학,1+7=?,8,6,7,9
초등학교,1학년,1,수학,2+7=?,9,7,8,10
초등학교,1학년,2,수학,3+7=?,10,8,9,11
초등학교,1학년,2,수학,4+7=?,11,9,10,12
초등학교,1학년,2,수학,5+7=?,12,10,11,13
초등학교,1학년,2,수학,6+7=?,13,11,12,14
초등학교,1학년,1,수학,1+8=?,9,7,8,10
초등학교,1학년,1,수학,2+8=?,10,8,9,11
초등학교,1학년,1,수학,3+8=?,11,9,10,12
초등학교,1학년,1,수학,4+8=?,12,10,11,13
초등학교,1학년,1,수학,5+8=?,13,11,12,14
초등학교,1학년,1,수학,6+8=?,14,12,13,15
초등학교,1학년,1,수학,1+9=?,10,8,9,11
초등학교,1학년,1,수학,2+9=?,11,9,10,12
초등학교,1학년,1,수학,3+9=?,12,10,11,13
초등학교,1학년,1,수학,4+9=?,13,11,12,14
초등학교,1학년,1,수학,5+9=?,14,12,13,15
초등학교,1학년,1,수학,6+9=?,15,13,14,16
초등학교,1학년,1,수학,1+10=?,11,9,10,12
초등학교,1학년,1,수학,2+10=?,12,10,11,13
초등학교,1학년,1,수학,3+10=?,13,11,12,14
초등학교,1학년,1,수학,4+10=?,14,12,13,15
초등학교,1학년,1,수학,5+10=?,15,13,14,16
초등학교,1학년,1,수학,6+10=?,16,14,15,17
초등학교,1학년,1,수학,10-1=?,9,8,10,11
초등학교,1학년,1,수학,10-2=?,8,6,7,9
초등학교,1학년,1,수학,10-3=?,7,6,8,9
초등학교,1학년,1,수학,10-4=?,6,5,7,8
초등학교,1학년,1,수학,10-5=?,5,4,6,7
초등학교,1학년,1,수학,10-6=?,4,3,5,6
초등학교,1학년,1,수학,10-7=?,3,2,4,5
초등학교,1학년,1,수학,10-8=?,2,1,3,4
초등학교,1학년,1,수학,10-9=?,1,0,2,3
초등학교,1학년,1,수학,5-1=?,4,3,5,6
초등학교,1학년,1,수학,5-2=?,3,2,4,5
초등학교,1학년,1,수학,5-3=?,2,1,3,4
초등학교,1학년,1,수학,5-4=?,1,0,2,3
초등학교,1학년,1,수학,4-1=?,3,2,4,5
초등학교,1학년,1,수학,4-2=?,2,1,3,4
초등학교,1학년,1,수학,4-3=?,1,0,2,3
초등학교,1학년,1,수학,3-1=?,2,1,3,4
초등학교,1학년,1,수학,3-2=?,1,0,2,3
초등학교,1학년,1,수학,빼기 기호(-)의 의미는?,숫자를 빼는 기호,숫자를 더하는 기호,숫자를 곱하는 기호,숫자를 나누는 기호
초등학교,1학년,1,수학,'+' 기호의 의미는?,숫자를 더하는 기호,숫자를 빼는 기호,숫자를 곱하는 기호,숫자를 나누는 기호
초등학교,1학년,1,수학,2의 다음 숫자는?,3,1,2,4
초등학교,1학년,1,수학,3의 다음 숫자는?,4,2,3,5
초등학교,1학년,1,수학,1+1+1=?,3,1,2,4
