학교,학년,난이도,과목,문제,정답,선택 1,선택 2,선택 3
고등학교,1,1,수학,"다항식 f(x) = 2x^2 + 3x - 5에 대해, f(1)의 값은?",0,-6,-2,4
고등학교,1,3,수학,방정식 2x - 5 = 7의 해는 다음 중 어느 것인가요?,x = 3,x = 1,x = 6,x = 8
고등학교,1,1,수학,"직사각형의 가로 길이를 x, 세로 길이를 y라고 할 때, 직사각형의 넓이를 나타내는 식은 다음 중 어느 것인가요?",A = xy,A = x + y,A = x - y,A = x/y
고등학교,1,1,수학,다음 중 부등식 2x + 1 > 5를 만족하는 x의 범위는 어느 것인가요?,x > 2,x < 2,x < 3,x > 3
고등학교,1,3,수학,"집합 A = {1, 2, 3}과 집합 B = {2, 3, 4}의 합집합은 다음 중 어느 것인가요?","{1, 2, 3, 4}","{1, 2, 3}","{2, 3}",{4}
고등학교,1,1,수학,"함수 y = 2x + 3의 그래프에서 x = 2일 때, y의 값은 얼마인가요?",7,-1,1,3
고등학교,1,3,수학,"경우의 수를 계산하는 방법 중 하나로, ""순열""과 ""조합""이 있습니다. 이 둘의 차이점은 무엇인가요?","순열은 순서가 중요한 경우, 조합은 순서가 중요하지 않은 경우에 사용합니다.","순열은 순서가 중요하지 않은 경우, 조합은 순서가 중요한 경우에 사용합니다.","순열은 중복을 허용하는 경우, 조합은 중복을 허용하지 않는 경우에 사용합니다.","순열은 중복을 허용하지 않는 경우, 조합은 중복을 허용하는 경우에 사용합니다."
고등학교,1,3,수학,"A = {1, 2, 3}이고 B = {2, 3, 4}일 때, A ∩ B는 다음 중 어느 것인가요?","{2, 3}","{1, 2, 3}",{4},공집합
고등학교,1,1,수학,함수 f(x) = x^2 + 1의 그래프가 x축과 만나는 지점의 개수는 얼마인가요?,0,1,2,무한대
고등학교,1,3,수학,다음 중 방정식 x^2 - 4 = 0의 해는 어느 것인가요?,"x = -2, 2",x = -2,x = 2,x = 4
고등학교,1,2,수학,"다항식 g(x) = 3x^2 - 2x + 4에 대해, g(2)의 값은?",12,5,10,16
고등학교,1,3,수학,방정식 4x + 3 = 15의 해는 다음 중 어느 것인가요?,x = 6,x = 3,x = 4,x = 6
고등학교,1,1,수학,"직사각형의 가로 길이를 x, 세로 길이를 y라고 할 때, 직사각형의 둘레를 나타내는 식은 다음 중 어느 것인가요?",2(x + y),P = 2x + y,P = x - y,P = xy
고등학교,1,3,수학,다음 중 부등식 3x - 7 > 4를 만족하는 x의 범위는 어느 것인가요?,x > 3,x < -1,x > -1,x < 3
고등학교,1,3,수학,"집합 A = {1, 2, 3}과 집합 B = {3, 4, 5}의 교집합은 다음 중 어느 것인가요?",{3},"{1, 2, 3} ","{4, 5}",공집합
고등학교,1,3,수학,"함수 y = -2x + 5의 그래프에서 x = -3일 때, y의 값은 얼마인가요?",11,-1,1,5
고등학교,1,3,수학,"A = {1, 2, 3}이고 B = {3, 4, 5}일 때, A - B는 다음 중 어느 것인가요?",{1},"{2, 3}","{3, 4, 5}",공집합
고등학교,1,3,수학,함수 f(x) = -x^2 + 3x의 그래프의 꼭짓점 좌표는 어디인가요?,"(1, 2)","(0, 0)","(2, 3)","(3, 2)"
고등학교,1,3,수학,다음 중 방정식 x^2 - 9 = 0의 해는 어느 것인가요?,"x = -3, 3",x = -3,x = 3,x = 9
고등학교,1,3,수학,"다항식 h(x) = 4x^2 + 2x - 3에 대해, h(-1)의 값은?",1,-15,-5,7
고등학교,1,3,수학,방정식 3x + 5 = 14의 해는 다음 중 어느 것인가요?,x = 4,x = 3,x = 6,x = 9
고등학교,1,3,수학,"직사각형의 가로 길이를 x, 세로 길이를 y라고 할 때, 직사각형의 넓이를 나타내는 식은 다음 중 어느 것인가요?",A = xy,A = x + y,A = x - y,A = x^2 + y^2
고등학교,1,3,수학,다음 중 부등식 2x + 3 > 7를 만족하는 x의 범위는 어느 것인가요?,x > 2,x < 2,x < 5,x > 5
고등학교,1,2,수학,"집합 A = {1, 2, 3}과 집합 B = {3, 4, 5}의 합집합은 다음 중 어느 것인가요?","{1, 2, 3, 4, 5}","{1, 2, 3}","{3, 4, 5} ","{4, 5}"
고등학교,1,3,수학,"함수 y = -3x + 2의 그래프에서 x = -2일 때, y의 값은 얼마인가요?",4,2,-2,-8
고등학교,1,1,수학,"A = {1, 2, 3}이고 B = {3, 4, 5}일 때, A ∩ B는 다음 중 어느 것인가요?",{3},"{1, 2, 3}","{4, 5}",공집합
고등학교,1,2,수학,함수 f(x) = x^2 + 2x의 그래프가 x축과 만나는 지점의 개수는 얼마인가요?,1,0,2,무한대
고등학교,1,3,수학,다음 중 방정식 x^2 - 16 = 0의 해는 어느 것인가요?,"x = -4, 4",x = -4,x = 4,x = 16
고등학교,1,1,수학,"다항식 p(x) = 2x^2 + 5x - 3에 대해, p(3)의 값은?",24,6,12,18
고등학교,1,3,수학,방정식 5x - 8 = 12의 해는 다음 중 어느 것인가요?,x = 6,x = 4,x = 5,x = 7
고등학교,1,3,수학,"직사각형의 가로 길이를 x, 세로 길이를 y라고 할 때, 직사각형의 둘레를 나타내는 식은 다음 중 어느 것인가요?",P = 2x + 2y,P = 2(x + y),P = x - y,P = xy
고등학교,1,1,수학,다음 중 부등식 3x + 4 > 10를 만족하는 x의 범위는 어느 것인가요?,x > 2,x < 2,x < 5,x > 5
고등학교,1,3,수학,"두 수의 최대공약수가 5일 때, 그 두 수는 서로 어떤 관계에 있을까요?",서로소입니다.,소수입니다.,배수입니다.,합성수입니다.
고등학교,1,1,수학,"함수 y = 3x - 2의 그래프에서 x = -1일 때, y의 값은 얼마인가요?",-3,-5,1,5
고등학교,1,3,수학,"직각삼각형에서 빗변의 길이가 13, 한 직각변의 길이가 5일 때, 나머지 한 변의 길이는 얼마인가요?",10,5,8,12
고등학교,1,3,수학,함수 f(x) = x^2 + 4x의 그래프가 x축과 만나는 지점의 개수는 얼마인가요?,1,0,2,무한대
고등학교,1,3,수학,다음 중 방정식 x^2 - 25 = 0의 해는 어느 것인가요?,"x = -5, 5",x = -5,x = 5,x = 25
고등학교,1,3,수학,"직선이 x축과 만나는 점이 (-1, 3)이고, 다른 한 점이 (2, 7)일 때, 기울기는 얼마인가요?",2,3,4,5
고등학교,1,1,수학,다음 방정식을 만족하는 x의 값을 구하세요.,8,3,6,9
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,       ,,,,
