학교,학년,난이도,과목,문제,정답,선택지1,선택지2,선택지3
고등학교,2,1,수학,다음 중 로그의 밑으로 올바른 것은 무엇인가요?,1,0,-1,2
고등학교,2,3,수학,sin(90도) 의 값은?,1,0,-1,2
고등학교,2,2,수학,"삼각형 ABC에서 각 B가 90도이고, c=5, a=3일 때, 각 C의 크기는?",60도,45도,30도,90도
고등학교,2,1,수학,"등차수열에서 첫째 항이 3이고, 공차가 2일 때, 7번째 항은 무엇인가요?",17,15,13,11
고등학교,2,3,수학,"등비수열에서 첫째 항이 3이고, 공비가 2일 때, 5번째 항은 무엇인가요?",48,24,12,6
고등학교,2,2,수학,"등차수열의 10번째 항까지의 합은 무엇인가요? (첫째 항: 2, 마지막 항: 20)",110,100,55,50
고등학교,2,1,수학,"등비수열의 8번째 항까지의 합은 무엇인가요? (첫째 항: 3, 공비: 2)",765,510,255,127.5
고등학교,2,3,수학,시그마 기호를 사용하여 1부터 5까지의 합을 나타내보세요.,15,10,20,25
고등학교,2,3,수학,"함수 y = 2x + 3 에서 x = 4일 때, y의 값은 무엇인가요?",12,10,11,13
고등학교,2,2,수학,미분계수가 3인 함수 f(x)의 도함수는 무엇인가요?,3,0,-1,2
고등학교,2,1,수학,정적분 ∫(2x)dx 의 값은 무엇인가요? (범위: 1에서 3),8,6,4,2
고등학교,2,1,수학,"삼각형 ABC에서 삼각함수를 이용하여 각 B의 크기를 구해보세요. (a=5, b=8, C=60도)",45,30,60,75
고등학교,2,1,수학,"삼각형 ABC에서 코사인 법칙을 이용하여 각 B의 크기를 구해보세요. (a=4, b=6, c=7)",34.88,50.12,45.12,55.88
고등학교,2,2,수학,"등차수열에서 n번째 항은 a_n = 3n+2 일 때, 10번째 항은 무엇인가요?",32,34,33,35
고등학교,2,3,수학,"등비수열에서 n번째 항은 a_n = 2^(n-1) 일 때, 6번째 항은 무엇인가요?",48,24,12,6
고등학교,2,2,수학,"등차수열의 20번째 항까지의 합은 무엇인가요? (첫째 항: 2, 마지막 항: 40)",820,800,410,400
고등학교,2,3,수학,"등비수열의 12번째 항까지의 합은 무엇인가요? (첫째 항: 3, 공비: 2)",229374,458748,114687,916872
고등학교,2,2,수학,시그마 기호를 사용하여 1부터 10까지의 제곱의 합을 나타내보세요.,385,420,455,330
고등학교,2,2,수학,다음 중 올바른 미분계수를 가진 함수는 무엇인가요?,\[f(x) = 3x^2 + 2x - 1\],\[f(x) = x^3 - 2x^2 + 4x\],\[f(x) = 2x + 5\],\[f(x) = 5x - 3\]
고등학교,2,2,수학,"f(x) = 2x^3일 때, x = 3에서의 순간 변화율은 무엇인가요?",54,24,18,12
고등학교,2,2,수학,\[∫(3x^2)dx\] 의 값은 무엇인가요? (범위: 1에서 2),7,8,6,9
고등학교,2,3,수학,"삼각형 ABC에서 코사인 법칙을 이용하여 각 B의 크기를 구해보세요. (a=4, b=6, c=7)",50.12,45.12,34.88,55.88
고등학교,2,2,수학,"등차수열에서 n번째 항은 a_n = 3n+2 일 때, 10번째 항은 무엇인가요?",32,34,33,35
고등학교,2,3,수학,"등비수열에서 n번째 항은 a_n = 2^(n-1) 일 때, 6번째 항은 무엇인가요?",48,24,12,6
고등학교,2,2,수학,"함수 y = 2x + 3 에서 x = 4일 때, y의 값은 무엇인가요?",11,10,12,13
고등학교,2,1,수학,미분계수가 3인 함수 f(x)의 도함수는 무엇인가요?,3,0,-1,2
고등학교,2,2,수학,\[∫(2x)dx\] 의 값은 무엇인가요? (범위: 1에서 3),8,4,6,2
고등학교,2,3,수학,"삼각형 ABC에서 삼각함수를 이용하여 각 B의 크기를 구해보세요. (a=5, b=8, C=60도)",45,30,60,75
