학교,학년,난이도,과목,문제,정답,선택 1,선택 2,선택 3
중학교,3,3,수학,다음 중 이차방정식의 해를 구하는 과정 중 옳은 것은?,근의 공식을 이용하여 해를 구한다.,이차항의 계수를 구한다.,판별식을 계산한다.,해를 구하는 과정은 없다.
중학교,3,1,수학,인수분해를 통해 다음 식을 간소화한 결과는 무엇인가요?,x^2 + 3x - 2,x^2 - 3x + 2,x^2 + 3x + 2 ,x^2 - x - 6
중학교,3,1,수학,"피타고라스의 정리에 따라서 직각삼각형에서 세 변의 길이를 a, b, c라고 할 때, 다음 중 옳은 식은?",a^2 + b^2 = c^2,a + b = c ,a^2 - b^2 = c^2,a - b = c
중학교,3,3,수학,다음 중 통계에서 사용되는 개념은?,표준편차,근의 공식,이차방정식,인수분해
중학교,3,3,수학,다음 중 삼각비의 정의에 해당하는 것은?,sinθ = (밑변) / (빗변),cosθ = (높이) / (밑변),tanθ = (높이) / (빗변),cotθ = (밑변) / (높이)
중학교,3,1,수학,"이차함수 y = ax^2 + bx + c에서 a의 값이 양수인 경우, 그래프의 어떤 특징이 나타날까요?",위로 볼록한 그래프가 그려진다.,아래로 볼록한 그래프가 그려진다.,직선 그래프가 그려진다.,그래프의 모양은 a의 값과 무관하다.
중학교,3,3,수학,원의 지름과 반지름의 관계는 다음 중 어떤 식으로 나타낼 수 있을까요?,지름 = 2 * 반지름,반지름 = 지름 / 2,지름 = 반지름 / 2,반지름 = 2 * 지름
중학교,3,1,수학,다음 중 통계에서 사용되는 대표적인 측정 지표는?,분산,인수분해,이차방정식,실수와 식의 계산
중학교,3,3,수학,"삼각형 ABC에서 각 A의 크기가 90도이고 BC의 길이가 5, AC의 길이가 12일 때, 각 B의 크기는 얼마인가요?",60도,30도,45도,90도
중학교,3,1,수학,(2x + 3)(x - 4)를 인수분해하여 간소화한 결과는 무엇인가요?,2x^2 - 5x - 12,2x^2 + 3x - 4,2x^2 - 3x + 4,2x^2 + 3x + 4
중학교,3,2,수학,통계에서 중심경향성을 나타내는 대표적인 지표는 다음 중 어떤 것인가요?,중앙값,분산,표준편차,범위
중학교,3,3,수학,"다음 이차방정식의 판별식을 구하고, 판별식의 값에 따라 해의 개수를 판단해보세요.2x^2 + 5x + 3 = 0","판별식: 16, 해의 개수: 2개","판별식: 9, 해의 개수: 1개","판별식: 1, 해의 개수: 0개","판별식: -1, 해의 개수: 2개"
중학교,3,3,수학,"피타고라스의 정리에 따라서 직각삼각형에서 빗변의 길이를 c, 한 직각변의 길이를 a라고 할 때, 다른 직각변의 길이 b는 다음과 같이 구할 수 있습니다.",b = √(c^2 - a^2),b = c - a,b = c + a,b = √(c^2 + a^2)
중학교,3,1,수학,다음 중 실수와 식의 계산에서 우선순위가 가장 높은 연산은? ,곱셈,덧셈,뺄셈,나눗셈
중학교,3,3,수학,원의 지름과 원주의 길이의 관계는 다음 중 어떤 식으로 나타낼 수 있을까요?,원주 = π * 지름,원주 = 지름 / 2,원주 = 2 * 지름,원주 = π * 반지름
중학교,3,2,수학,다음 중 이차함수의 극대점 또는 극소점을 구하는 방법은?,완전제곱식으로 변형한 후 극대점 또는 극소점을 구한다.,이차항의 계수를 구한다.,판별식을 계산한다.,근의 공식을 이용하여 해를 구한다.
중학교,3,3,수학,다음 중 삼각비를 이용하여 각도를 구하는 방법은?,탄젠트의 역함수,코사인 법칙,사인 법칙,삼각비 표에서 찾아보기
중학교,3,1,수학,다음 중 통계에서 사용되는 그래프는?,막대 그래프,선 그래프,원 그래프,꺾은선 그래프
중학교,3,3,수학,다음 이차방정식의 근의 개수를 판단해보세요.x^2 + 4x + 4 = 0,1개,2개,0개,근의 개수를 판단할 수 없음
중학교,3,1,수학,인수분해를 통해 다음 식을 간소화한 결과는 무엇인가요? (3x - 5)(2x + 1),6x^2 - 7x - 5,6x^2 + 7x - 5,6x^2 - 7x + 5,6x^2 + 7x + 5
중학교,3,3,수학,"다음 중 삼각비의 값이 1일 때, 각의 크기는 얼마인가요?",45도,30도,60도,90도
중학교,3,1,수학,다음 중 분산과 표준편차를 나타내는 식은?,분산 = 표준편차^2,분산 = √표준편차,표준편차 = √분산,표준편차 = 분산^2
중학교,3,3,수학,"다음 중 두 직선이 평행한 경우, 두 직선의 기울기는 어떤 관계를 가질까요?",같은 기울기를 가진다.,서로 수직이다.,서로 평행이다.,기울기에 대한 관계를 알 수 없다.
중학교,3,3,수학,다음 중 삼각형의 내각의 합은 얼마인가요?,180도,90도,270도,360도
중학교,3,3,수학,다음 중 통계에서 사용되는 중앙값은 어떤 개념일까요?,데이터 값들의 합을 개수로 나눈 값,데이터 값들의 합을 개수로 나눈 값,데이터 값들 중 가장 큰 값,데이터 값들 중 가장 작은 값
중학교,3,3,수학,다음 중 등차수열의 일반항을 나타내는 식은?,an = a1 + (n - 1)d,an = a1 + (n + 1)d,an = a1 - (n - 1)d,an = a1 - (n + 1)d
중학교,3,3,수학,다음 중 사인 법칙은 어떤 개념을 나타내는 식일까요?,각의 외적과 사인 값의 곱은 1이다.,각의 내적과 코사인 값의 곱은 1이다.,외각과 내각의 합은 180도이다.,삼각형의 각과 변의 길이 사이에 성립하는 등비식이다.
중학교,3,2,수학,다음 중 평균과 총합을 나타내는 식은?,평균 = 총합 / 개수,평균 = 개수 / 총합 ,총합 = 평균 / 개수,총합 = 개수 / 평균
중학교,3,1,수학,다음 중 원의 반지름과 원의 둘레의 관계를 나타내는 식은?,원의 둘레 = π * 반지름,원의 둘레 = 반지름 / 2,원의 둘레 = 2 * 반지름,원의 둘레 = π * 지름
중학교,3,3,수학,다음 중 이차방정식의 근의 공식은 어떤 식일까요?,x = (-b ± √(b^2 - 4ac)) / (2a),x = (-b ± √(b^2 + 4ac)) / (2a),x = (-b ± √(b^2 - ac)) / (2a),x = (-b ± √(b^2 + ac)) / (2a)
중학교,3,2,수학,"직각삼각형 ABC에서 각 A의 크기가 30도이고 BC의 길이가 6일 때, 각 B의 크기는 얼마인가요?",60도,30도,45도,90도
중학교,3,1,수학,"다음 중 두 직선이 수직한 경우, 두 직선의 기울기는 어떤 관계를 가질까요?",기울기에 대한 관계를 알 수 없다.,같은 기울기를 가진다.,서로 수직이다.,서로 평행이다.
중학교,3,3,수학,다음 중 표준편차와 분산의 차이점은 무엇인가요?,분산은 표준편차의 제곱이다.,표준편차는 분산의 제곱근이다.,표준편차는 데이터의 중앙값이다.,분산은 데이터의 평균값이다.
중학교,3,1,수학,다음 중 삼각형의 내각의 합은 얼마인가요?,180도,90도,270도,360도
중학교,3,3,수학,다음 중 중앙값과 평균값의 관계는 어떤 것인가요?,중앙값과 평균값은 상황에 따라 다를 수 있다.,중앙값은 평균값보다 항상 크다.,중앙값은 평균값보다 항상 작다.,중앙값과 평균값은 항상 같다.
중학교,3,2,수학,다음 중 등차수열의 일반항을 나타내는 식은?,an = a1 + (n - 1)d,an = a1 + (n + 1)d,an = a1 - (n - 1)d,an = a1 - (n + 1)d
중학교,3,3,수학,다음 중 사인 법칙은 어떤 개념을 나타내는 식일까요?,각의 외적과 사인 값의 곱은 1이다.,각의 내적과 코사인 값의 곱은 1이다.,외각과 내각의 합은 180도이다.,삼각형의 각과 변의 길이 사이에 성립하는 등비식이다.
중학교,3,1,수학,다음 중 산술평균과 총합을 나타내는 식은?,평균 = 총합 / 개수,평균 = 개수 / 총합,총합 = 평균 / 개수,총합 = 개수 / 평균
중학교,3,3,수학,다음 중 원의 반지름과 원의 둘레의 관계를 나타내는 식은?,원의 둘레 = π * 반지름,원의 둘레 = 반지름 / 2,원의 둘레 = 2 * 반지름,원의 둘레 = π * 지름
중학교,3,1,수학,다음 중 이차방정식의 근의 공식은 어떤 식일까요?,x = (-b ± √(b^2 - 4ac)) / (2a),x = (-b ± √(b^2 + 4ac)) / (2a),x = (-b ± √(b^2 - ac)) / (2a),x = (-b ± √(b^2 + ac)) / (2a)
