학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
중학교,2학년,1,수학,다음 중 유리수인 것은 무엇인가요?,0.333...,π,루트3,루트5
중학교,2학년,3,수학,다음 중 유리수인 것은 무엇인가요?,0.666…,π,루트3,루트5
중학교,2학년,2,수학,다음 중 유리수인 것은 무엇인가요?,1/2,π,루트3,루트5
중학교,2학년,3,수학,다음 중 유리수인 것은 무엇인가요?,1/3,π,루트3,루트5
중학교,2학년,1,수학,다음 중 유리수인 것은 무엇인가요?,3.5,π,루트3,루트5
중학교,2학년,1,수학,다음 중 유리수인 것은 무엇인가요?,1/5,π,루트3,루트5
중학교,2학년,2,수학,다음 중 유리수인 것은 무엇인가요?,1/7,π,루트3,루트5
중학교,2학년,1,수학,다음 중 유리수인 것은 무엇인가요?,0.5,π,루트3,루트5
중학교,2학년,3,수학,다음 중 유리수인 것은 무엇인가요?,0.2,π,루트3,루트5
중학교,2학년,1,수학,다음 중 유리수인 것은 무엇인가요?,3.5,π,루트3,루트5
중학교,2학년,1,수학,2 + 5 = ?,7,4,5,10
중학교,2학년,3,수학,5 - 3 = ?,2,10,2,7
중학교,2학년,1,수학,2 - 4 = ?,-2,10,2,5
중학교,2학년,3,수학,5 + 10 = ?,15,7,10,1
중학교,2학년,3,수학,6 + 2 = ?,8,3,4,10
중학교,2학년,2,수학,3 - 4 = ?,-1,10,5,4
중학교,2학년,2,수학,2 + 9 = ?,11,2,4,1
중학교,2학년,2,수학,10 * 10 = ?,100,4,5,1
중학교,2학년,3,수학,5 - 10 = ?,-5,7,4,1
중학교,2학년,3,수학,10 * 3 = ?,30,4,1,7
중학교,2학년,1,수학,다음 부등식을 만족하는 y의 값은? y < 4,2,6,8,10
중학교,2학년,2,수학,다음 부등식을 만족하는 z의 값은? z >= 9,9,8,7,6
중학교,2학년,2,수학,다음 부등식을 만족하는 y의 값은? y > 9,11,9,8,7
중학교,2학년,1,수학,다음 부등식을 만족하는 x의 값은? X < 9,7,9,10,11
중학교,2학년,1,수학,다음 부등식을 만족하는 y의 값은? y > 6,10,6,5,4
중학교,2학년,3,수학,다음 부등식을 만족하는 y의 값은? y > 3,4,3,2,1
중학교,2학년,2,수학,다음 부등식을 만족하는 x의 값은? X > 2,3,2,1,0
중학교,2학년,3,수학,다음 부등식을 만족하는 y의 값은? y >= 7,7,6,5,4
중학교,2학년,2,수학,다음 부등식을 만족하는 y의 값은? y <= 8,8,9,11,1
중학교,2학년,3,수학,다음 부등식을 만족하는 z의 값은? z >= 8,11,1,2,3
중학교,2학년,1,수학,"일차함수 y = 2x + 3의 x=4일 때, y값은 얼마인가요?",11,11,10,5
중학교,2학년,3,수학,"직각삼각형에서 빗변의 길이가 5, 한 직각변의 길이가 3일 때, 다른 변의 길이는?",4,2,10,11
중학교,2학년,2,수학,"6면 주사위를 던졌을 때, 4 이상의 수가 나올 확률은?",1/2,2/3,4/5,6/5
