학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
초등학교,5,1,한국사,구석기시문화로 적절한것은?,이동생활,농경,목축,정착생활
초등학교,5,2,한국사,신석기문화로 적절한것은,부족사회,이동생활,막집에서 생활,뗀석기
초등학교,5,1,한국사,청동기문화로 적절한것은,벼농사 시작,농경시작,목축시작,이동생활
초등학교,5,1,한국사,고조선에대한 설명으로 적절한것은,제정일치 사회,빗살무늬 토기 제작,읍군 삼로가 부족지배,소도 존재
초등학교,5,2,한국사,8조법을 실시한 국가,고조선,고구려,백제 ,신라
초등학교,5,2,한국사,군장이 통치한 국가,"옥저,동예,삼한",발해,고구려,백제
초등학교,5,2,한국사,고구려를 건국한 사람은,주몽,태조왕건,미천왕,지증왕
초등학교,5,1,한국사,고구려의 회의,제가회의,정사암 회의,화백 회의 ,모의유엔
초등학교,5,3,한국사,금관가야를 통합한 사람은,법흥왕,지증왕,진흥왕,근초고왕
초등학교,5,2,한국사,대가야를 통합한 사람은,진흥왕,지증왕,법흥왕,미천왕
초등학교,5,1,한국사,소수림왕의 업적이 아닌것은,웅진천도,불교수용,태학설립,율령반포
초등학교,5,2,한국사,광개토대왕의 업적이 아닌것은,한성함락,백제를 공격해 한강 이북지역을 차지,신라에 침입한 왜 격퇴,북진정책 추진
초등학교,5,1,한국사,고구려때의 한강을 점령한 왕은,장수왕,광개토대왕,소수림왕,미천왕
초등학교,5,3,한국사,지증왕이 한 업적이 아닌것은,율령 반포,국호 ‘신라’지정,왕호 ‘왕’지정,우산국 복속
초등학교,5,2,한국사,법흥왕이 이룬 업적이 아닌것은,단양 신라 적성비 건립,율령 반포,불교 공인,금관가야 병합
초등학교,5,2,한국사,"문무왕, 신문왕을 거치며 왕권 강화를 하기 위한 방법으로 적절한것은?",녹읍 폐지,화백회의 중시,불교 공인,율령 반포
초등학교,5,1,한국사,"무왕,문왕,선왕 중 발해를 ‘해동성국’이라 불리게 한 왕은?",선왕,문왕,무왕,우왕
초등학교,5,2,한국사,발해의 통치 체제는?,3성6부,2성6부,4성8부,2성8부
초등학교,5,2,한국사,도교와 관련없는 유물은?,삼국사기,사신도,백제 산수무늬 벽돌,백제 금동 대향로
초등학교,5,1,한국사,고려의 교육시설,국학,국자감,주자감,성균관
초등학교,5,2,한국사,태조왕건의 업적이 아닌것은?,시무28조 수용,훈요 10조 제시,팔관회 장려,북진정책
초등학교,5,1,한국사,광종이 한 일로 적절한 것은,"노비안검법, 과거제 실시",시무28조 수용,유교중심의 통치체제 정비,호족 우대와 견제
초등학교,5,2,한국사,고려시대 국방문제를 담당하는 중앙정치 조직,도병마사,중추원,삼사,식목도감
초등학교,5,2,한국사,거란의 1차침입때의 서희의 외교담판으로 확보한 지역은?,강동6주,연해주,자유시,만주
초등학교,5,1,한국사,윤관이 창설한 부대의 이름은?,별무반,별기군,13도창의군,기기창
초등학교,5,2,한국사,묘청의 서경천도운동에 영향을 미친 요인은?,풍수지리설,도교,천주교,유교
초등학교,5,2,한국사,문벌사회의 동요와 관련있는 사건은?,이자겸의 난,거문도사건,한일신협약,거란의 침입
초등학교,5,2,한국사,무신정권과 관련없는 내용은?,이자겸의 난,정방 설치,삼별초의 항쟁,상성총관부 설치
초등학교,5,1,한국사,공민왕의 개혁정책이 아닌것은?,불교공인,전민변정도감 설치,정동행성 이문소 폐지,쌍성총관부 공격
초등학교,5,2,한국사,무신정권시기에 발생한 농민봉기가 아닌것은?,원종과 애노의 난,전주 관노의 봉기,김사미와 효심의 봉기,만적의 봉기
초등학교,5,3,한국사,삼국사기를 저술한 사람은?,김부식,일연,조만식,조병갑
초등학교,5,3,한국사, 조선건국과 관련없는것은?,서희의 외교담판,위화도 회군,과전법 실시,수조권 지급
초등학교,5,3,한국사,다음 설명중 틀린 것은?,태종은 의정부 서사제를 실시하였다,태종은 호패법을 실시하였다,세종은 집현전을 설치하였다, 성종은 경국대전을 완성시켰다
초등학교,5,2,한국사,조선의 지방행정 조직은?,8도,5도와 양계,9주5소경,5경15부62주
초등학교,5,3,한국사,다음중 가장 나중에 발생한 사건은?,을사사화,무오사화,감자사화,기묘사화
초등학교,5,2,한국사,김종직의 조의제문과 관련있는 사건은?,무오사화,감자사화,감자사화,을사사화
초등학교,5,1,한국사,흥성대원군의 개혁정치가 아닌것은?,위정척사 운동,수취 제체 정비,서원 정리,대전회통 편찬
초등학교,5,1,한국사,다음중 가장 나중에 발생한 사건은?,신미양요,병인박해,벼인양요,오페르트 도굴사건
초등학교,5,2,한국사,신미양요가 발생한 이유가 되는 사건은?,제너럴 셔먼호 사건,병인박해,거문도 사건,강화도조약
초등학교,5,2,한국사,강화도 조약에 포함되지 않는 내용은?,최혜국대우 조항,부산 외 2개 항구 개항,해안 측량권,영사 재판권
초등학교,5,2,한국사,조미 수호 통상 조약에 포함되지 않는 내용은?,일본 화폐 유통,최혜국대우 조항,거중 조정,영사 재판권
초등학교,5,3,한국사,개화 정책의 추진의 내용과 상관없는것은?,탕평피 건립,통리기무아문 설치,별기군 창설,외교 사절과 사찰단 파견
초등학교,5,2,한국사,임오군란의 결과로 적절하지 않은것은?,텐진 조약 체결,조청 상인 수륙 무역 장정 체결,제물포 조약 체결,청의 내정 간섭 심화
초등학교,5,2,한국사,갑신정변의 결과로 적절하지 않은것은?,강화도 조약 체결,한성 조약 체결,텐진 조약 체결,청의 내정 간섭 심화
