학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
초등학교,2,1,수학,문제: 324 + 187 을 계산하세요.,511,498,639,737
초등학교,2,1,수학,삼각형의 각도 합은 얼마인가요?,180,90,270,360
초등학교,2,3,수학,759 - 328 을 계산하세요,431,521,643,782
초등학교,2,3,수학,"과일을 사과, 바나나, 오렌지로 나눌 때, '사과'에 해당하는 과일은 무엇인가요?",사과,바나나,오랜지,수박
초등학교,2,1,수학,현재 시간이 오후 3시 45분입니다. 2시간 30분 후에 몇 시 몇 분이 될까요?,오전 6시15분,오전 11시15분 ,오후 1시15분 ,오후 6시 15분
초등학교,2,1,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 3, 6, 9, 12, ...",15,14,18,21
초등학교,2,1,수학,"2,365와 1,478을 더하면 얼마인가요?","3,843","3,254","4,213","4,824"
초등학교,2,1,수학,한 달에 얼마나 많은 주말이 있는지 알고 싶습니다. 한 주에 몇 일이 있는지 기억하고 있나요?,7일,5일,6일,8일
초등학교,2,3,수학,32 x 5 는 얼마인가요?,160,145,192,213
초등학교,2,3,수학,두 개의 선분 AB와 CD가 있습니다. AB의 길이는 7cm이고 CD의 길이는 12cm입니다. 선분 AB와 CD 중 어느 선분이 더 길까요?,CD,AB,같음,둘 다 아님
초등학교,2,3,수학,지금은 오전 10시 20분입니다. 1시간 45분 후에 몇 시 몇 분이 될까요?,오전 12시 5분,오후 2시 5ㅂㄴ,오전 11시 5분,오전 10시 5분
초등학교,2,1,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 2, 4, 8, 16, ...",32,28,30,34
초등학교,2,1,수학,"문제: 4,712에서 1,345를 뺀 결과는 얼마인가요?","3,367","2,367","4,057","4,271"
초등학교,2,1,수학,"한 달에 30일이 있다고 할 때, 2주는 몇 일인가요?",14일,10일,15일,21일
초등학교,2,3,수학,452 + 213 을 계산하세요.,665,655,664,666
초등학교,2,2,수학,현재 시계가 오후 5시 30분을 가리키고 있습니다. 4시간 15분 후에 몇 시 몇 분이 될까요?,오후 9시 45분,오후 2시 45분,오전 9시 15분,오전 6시 15분
초등학교,2,1,수학,정사각형과 정삼각형 중에서 각 변의 길이가 같은 도형은 무엇인가요?,정삼각형,정사각형,정오각형,정육각형
초등학교,2,1,수학,587 - 243 을 계산하세요.,344,224,354,364
초등학교,2,1,수학,"직사각형의 가로 길이가 18cm, 세로 길이가 12cm일 때, 넓이는 얼마인가요?",216cm²,156cm² ,360cm² ,382cm²
초등학교,2,1,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 5, 10, 20, 40, ...",80,60,70,90
초등학교,2,3,수학,"8,736에서 2,198을 뺀 결과는 얼마인가요?","6,538","3,538","4,538","5,938"
초등학교,2,1,수학,8월은 총 몇 일일까요?,31,28,30,32
초등학교,2,3,수학,738 + 456 을 계산하세요.,"1,194","1,294","1,456","1,652"
초등학교,2,3,수학,"정사각형의 한 변의 길이가 5cm일 때, 둘레는 얼마인가요?",20cm,15cm,25cm,30cm
초등학교,2,1,수학,426 + 389 을 계산하세요.,815,715,915,"1,015"
초등학교,2,1,수학,문제: 821 - 465 을 계산하세요.,356,256,437,556
초등학교,2,3,수학,"삼각형의 세 변 길이가 각각 8cm, 15cm, 17cm일 때, 이 삼각형은 어떤 종류의 삼각형인가요?",직각삼각형 ,이등변 삼각형,정삼각형,마름모
초등학교,2,2,수학,소수와 합성수 중에서 7은 무엇인가요?,소수,합성수,둘 다 아님,둘 다 맞다
초등학교,2,1,수학,7 x 4 의 결과는 무엇인가요?,28,24,32,36
초등학교,2,3,수학,"원의 지름이 10cm일 때, 원의 둘레는 얼마인가요? (원주율 π = 3.14로 계산하세요)",31.4cm,62.8,15.7cm,81.4cm
초등학교,2,3,수학,지금은 오후 7시 50분입니다. 1시간 10분 후에 몇 시 몇 분이 될까요?,오후 9시 45분,오후 8시 10분,오후 10시 10분,오후 11시 10분
초등학교,2,1,수학,"다음 숫자 패턴에서 다음 수는 무엇인가요? 1, 4, 9, 16, ...",25,20,30,35
초등학교,2,1,수학,628 + 573 을 계산하세요.,"1,201","1,164","1,035","1,014"
초등학교,2,1,수학,312 + 489 을 계산하세요.,801,701,934,"1,024"
초등학교,2,3,수학,지금은 오전 11시 30분입니다. 3시간 20분 후에 몇 시 몇 분이 될까요?,오전 2시 50분,오후 2시 50분,오전 3시 50분,오후 3시 50분
초등학교,2,2,수학,"5,823에서 1,956을 뺀 결과는 얼마인가요?","3,867","3,678","3,794","3,926"
