학교,학년,난이도,과목,문제,정답,선택 1,선택 2,선택 3
초등학교,4,1,수학,정수 35와 57의 합은? ,92,82,91,94
초등학교,4,3,수학,각이 90도인 직각삼각형의 나머지 두 각의 합은 몇 도 입니까?,90,30,45,60
초등학교,4,1,수학,3 x 4 = ?,12,9,15,20
초등학교,4,1,수학,두 점을 연결하고 이동시키면 점 원의 위치에 무슨 도형이 생성되나요?,선,원,사각형,타원
초등학교,4,1,수학,"각 팀의 인원은 각각  5명, 2명, 6명, 10명입니다. 전체 구성원은 몇 명인가요?",23,22,24,25
초등학교,4,3,수학,"규칙 찾기: 5, 10, 15, 20, _ , 30",25,35,40,45
초등학교,4,1,수학,"직각삼각형의 넓이가 15이고, 높이가 3일 때 밑변의 길이는?",10,12,15,16
초등학교,4,1,수학,소수 7과 3의 합은?,10,8,9,10
초등학교,4,1,수학,사각형의 넓이가 28이고 길이가 7일 때 밑변의 길이는?,4,2,3,6
초등학교,4,3,수학,6 x 7 = ?,42,36,48,54
초등학교,4,2,수학,"사각형의 주변의 길이가 26이고, 가로길이가 7일 때 세로길이는? ",6,4,5,7
초등학교,4,1,수학,① 5 x 2 = 10 ② 6 x 2 = 14 ③ 4 x 5 = 20 어떤 등식이 옳지 않습니까?,2번,1번,3번,4번
초등학교,4,3,수학,"다음 숫자에서 규칙을 찾으십시오. 4, 9, 16, 25, __ , 49",36,33,34,35
초등학교,4,1,수학,"각이 45도, 45도, 90도인 삼각형은 무엇입니까?",직각삼각형,이등변삼각형,정삼각형,둔각삼각형
초등학교,4,1,수학,5의 배수인 정수는 어떤 수에 5를 곱해야 합니까?,1,0,2,3
초등학교,4,2,수학,"규칙 찾기: 3, 5, 7, 9, __, 13",11,10,12,13
초등학교,4,3,수학,0.5 x 6 = ?,3,2,4,5
초등학교,4,1,수학,직각삼각형에 대각선이 추가되면 몇 개의 삼각형이 만들어집니까?,3,2,4,5
초등학교,4,1,수학,80 ÷ 10 = ?,8,9,10,11
초등학교,4,3,수학,다음 중 직사각형이 아닌 도형을 선택하십시오,"가로 2, 세로 2","가로 3, 세로 6 ","가로 4, 세로 7 ","가로 6, 세로 4"
초등학교,4,2,수학,다각형에 내각의 합이 540도 인 것은?,칠각형,오각형,육각형,8각형
초등학교,4,1,수학,다각형의 둘레를 구하는 방법은 무엇입니까? ,모든 변의 길이를 더한다.,모든 변의 길이를 곱한다.,대각선의 길이를 더한다.,넓이와 높이를 더한다.
초등학교,4,1,수학,직사각형의 넓이는 20이고 높이는 4입니다. 길이는?,5,4,6,7
초등학교,4,3,수학,곱하여 10이 나오는 수는?,2와 5,3과 7,2와 3,5와 7
초등학교,4,1,수학,꼭지점이 4 개인 도형인 것은?,사각형,삼각형,오각형,육각형
초등학교,4,1,수학,9 + 16 = ?,25,21,23,27
초등학교,4,3,수학,"각도 60도, 60도, 60도인 삼각형은 어떤 삼각형입니까?",정삼각형,이등변삼각형,직각삼각형,등변삼각형
초등학교,4,2,수학,10 x 4 = ?,40,30,35,45
초등학교,4,1,수학,50과 10 사이의 정수에서 규칙은?,40,20,30,50
초등학교,4,3,수학,"가로 길이가 6, 세로 길이가 8인 직사각형의 넓이는? ",48,36,42,54
초등학교,4,2,수학,8 ÷ 2 = ?,4,3,5,6
초등학교,4,3,수학,다음 중 홀수는 무엇인가?,9,6,14,18
초등학교,4,1,수학,9과 3을 곱한 다음 6을 더하면 얼마인가요?,33,27,30,36
초등학교,4,3,수학,사각형의 둘레는 가로의 길이와 세로의 길이를 각각 더한 값의 몇 배입니까?,2배,1배,3배,4배
초등학교,4,3,수학,3/4를 소수로 표현하면?,0.75,0.25,0.5,1
초등학교,4,2,수학,사각형의 한 쌍의 반대 각에 대한 설명 중 틀린 것은 무엇입니까?,합이 360도,합이 180도,서로 같은 위치에 있음,같은 크기이 각도
초등학교,4,2,수학,12 x 3 = ?,36,42,48,49
초등학교,4,3,수학,다각형에서 내각의 수가 외각의 수와 같은 것은?,삼각형,사각형,오각형,육각형
초등학교,4,1,수학,"8, 16, 32, 64는 전부 어떤 수를 곱하면 나오는 값입니까?",2,1,3,4
초등학교,4,1,수학,"5, 10, 15, 20는 전부 어떤 수를 곱하면 나오는 값입니까?",5,3,4,6
초등학교,4,3,수학,"각도 45도, 45도, 90도인 삼각형입니다. 삼각형은 얼마나 많은 축이 있습니까?",2,1,3,4
초등학교,4,1,수학,다음 중 소수가 아닌 것은?,6,2,3,5
초등학교,4,1,수학,다음 중  면의 개수가 몇개 있는지 알 수 있는 보기는?,변의 수,꼭짓점의 수 ,내각의 합,가장자리의 수
초등학교,4,2,수학,15 - 9 = ?,6,7,8,9
초등학교,4,2,수학,다음 중 소수는 무엇입니까? ,23,12,14,24
초등학교,4,1,수학,26 ÷ 2 = ?,13,11,12,14
초등학교,4,3,수학,45를 5로 나누면 몫과 나머지는 얼마입니까?,"몫: 9, 나머지: 0","몫: 8, 나머지: 1","몫: 9, 나머지: 1","몫: 8, 나머지: 2"
초등학교,4,1,수학,31과 15와 더한 다음 6과 곱하면 얼마입니까?,186,162,180,192
초등학교,4,2,수학,6 x 9 = ?,54,48,60,66
초등학교,4,3,수학,16을 2로 나누고 남은 값을 3으로 곱하면 얼마입니까?,24,18,27,30
초등학교,4,1,수학,다음 중 홀수 연속 소수 쌍이 아닌 것은 어떤 것입니까? ,"11, 15","3, 5","5, 7","11,  13"
초등학교,4,3,수학,삼각형의 세 내각의 합은 항상 몇 도입니까?,180도,90도,270도,360도
초등학교,4,1,수학,: 5 x 5 = ?,25,10,15,20
초등학교,4,1,수학,다음 중 120의 약수는 어떤 것입니까?,3,7,13,27
초등학교,4,1,수학,가장 큰 각이 110도인 두삼각형의 가장 큰 각의 합은 몇 도입니까?,220,180,270,360
초등학교,4,2,수학,300을 4로 나눈 몫은 얼마입니까?,75,60,120,150
초등학교,4,1,수학,327에서 17을 더한 후에 12와 곱한 값은 얼마입니까?,4082,4080,4081,4083
초등학교,4,3,수학,27을 9로 나누면 몫과 나머지는 얼마입니까?,"몫: 3, 나머지: 0","몫: 4, 나머지: 1","몫: 5, 나머지: 2","몫: 6, 나머지: 3"
초등학교,4,2,수학,"20, 40, 60, 80 숫자 사이의 등차는 얼마입니까?",20,10,30,40
초등학교,4,1,수학,"각도 30도, 60도, 90도인 삼각형의 유형은 무엇입니까?",직각삼각형,이등변삼각형,정삼각형,등변삼각형
초등학교,4,1,수학,소수 중 하나가 아닌 것은? ,20,3,7,13
초등학교,4,1,수학,140 ÷ 20 = ?,7,4,6,8
초등학교,4,1,수학,다음 중 짝수가 아닌 것은 무엇입니까?,25,12,18,36
초등학교,4,3,수학,"각도 100도, 40도인 삼각형의 나머지 각도는 몇 도입니까?",40,30,50,60
초등학교,4,2,수학,12를 6으로 나누어 남은 값을 3으로 곱하면 얼마인가요?,6,9,12,15
초등학교,4,2,수학,다음 중 소수인 수는? ,13,8,21,28
초등학교,4,1,수학,330에서 10을 더한 다음 6과 곱한 값은 얼마입니까? ,2040,2020,2060,2080
초등학교,4,3,수학,80을 20으로 나눌 때의 몫은 얼마입니까?,4,2,6,8
초등학교,4,1,수학,분수 5/8에서 1/8을 뺄 때 얼마입니까?, 1/2, 3/8, 5/8, 3/4
초등학교,4,3,수학,다각형에서 내각의 합이 720도인 도형은?,팔각형,오각형,육각형,칠각형
초등학교,4,1,수학,52 + 19 = ?,71,61,81,91
초등학교,4,2,수학,오각형의 내각의 합은 몇 도입니까?,540,180,360,720
초등학교,4,1,수학,7 x 7 = ?,49,42,56,63
초등학교,4,1,수학,다음 중 짝수는? ,42,25,37,51
초등학교,4,3,수학,분수 1/4와 1/8을 더하면 얼마입니까?, 3/8, 1/12, 1/6, 1/3
초등학교,4,1,수학,": 가로 길이가 5, 세로 길이가 7인 직사각형의 넓이는?",35,20,25,40
초등학교,4,1,수학,7 x 10 = ?,70,60,80,90
초등학교,4,1,수학,다음 중 10보다 작은 정수 중 홀수인것은?,9,2,4,8
초등학교,4,1,수학,소수 5와 3을 곱하면 얼마인가요? ,15,8,13,20
초등학교,4,3,수학,20 ÷ 4 = ?,5,4,6,7
초등학교,4,2,수학,"다각형에 내각의 합이 1,080도 인 것은?",구각형,육가형,칠각형,팔각형
초등학교,4,3,수학,100을 10으로 나누면 나머지는 얼마인가요?,0,1,2,9
초등학교,4,2,수학,분수 2/8을 약분했을 때 얼마입니까?, 1/4 , 1/2 , 1/8 , 1/16 
초등학교,4,2,수학,다각형에서 내각의 합이 180도인 도형인 것은?,삼각형,사각형,오각형,육각형
초등학교,4,2,수학,500에서 100을 더하면 얼마인가요?,600,400,500,700
