학교,학년,난이도,과목,문제,정답,선택 1,선택 2,선택 3
초등학교,6,1,수학,2/3 ÷ 1/4 의 결과는?, 8/3, 6/7, 7/6, 4/3
초등학교,6,3,수학,밑면이 4cm²이고 높이가 5cm인 각기둥의 부피는?,20cm³,10cm³,15cm³,25cm³
초등학교,6,1,수학,0.6 ÷ 0.2 의 결과는?,3,0.2,1.2,6
초등학교,6,1,수학,밑면이 3cm x 4cm이고 높이가 5cm인 직육면체의 겉넓이는?,62cm²,54cm²,. 60cm²,64cm²
초등학교,6,1,수학,"5대 2의 비를 유지하면서 21개의 과일을 5명에게 나누어 주려고 할 때, 한 명당 몇 개의 과일을 받게 되나요?",6개,3개,9개,12개
초등학교,6,3,수학,지름이 10cm인 원의 넓이는?,25π cm²,10π cm²,20π cm²,50π cm²
초등학교,6,1,수학,"밑면의 반지름이 5cm, 높이가 10cm인 원기둥의 부피는?",250π/3 cm³,100π/3 cm³,200π/3 cm³,500π/3 cm³
초등학교,6,3,수학,1 : 3 = 4 : (    )에서 빈칸에 들어갈 수는?,12,2,3,10
초등학교,6,3,수학,2/5 ÷ (1/3 + 1/15) 의 결과는?,3, 3/5, 7/9, 15/4
초등학교,6,1,수학,"밑면 반지름이 5cm, 높이가 12cm인 각뿔의 부피는?",100π/3 cm³,150π/3 cm³,200π/3 cm³,250π/3 cm³
초등학교,6,2,수학,"10대 7의 비를 유지하면서 56개의 사탕을 A, B, C 세 사람에게 나누어 줄 때, B가 받는 사탕의 개수는 몇 개인가요?",24개,10개 ,12개,20개
초등학교,6,3,수학,밑면이 8cm x 6cm이고 높이가 4cm인 직육면체의 부피는?,192cm³,96cm³,144cm³,288cm³
초등학교,6,1,수학,0.25 ÷ 0.01의 결과는?,25,0.25,2.5,250
초등학교,6,1,수학,"밑면 반지름이 10cm, 높이가 15cm인 원뿔의 부피는?",250π/3 cm³ ,500π/3 cm³,750π/3 cm³,1000π/3 cm³
초등학교,6,3,수학,4 : 8 = (    ) : 24에서 빈칸에 들어갈 수는?,12,6,16,18
초등학교,6,2,수학,0.0125 ÷ 0.25의 결과는?,0.05,0.5,5,50
초등학교,6,1,수학,밑면이 3cm²이고 높이가 10cm인 각기둥의 부피는?,30cm³,10cm³,20cm³,40cm³
초등학교,6,1,수학,"A, B, C, D 네 사람의 연령이 2 : 7 : 3 : 8의 비로 나타내어 질 때, 이 네 사람의 평균 연령은 몇 살인가요?",6.25살,6.5살,7.25살,7.5살
초등학교,6,3,수학,3/5 ÷ (2/3 ÷ 4/5)의 결과는?, 5/4,1, 4/5, 5/3
초등학교,6,1,수학,밑면이 4cm x 7cm이고 높이가 3cm인 직육면체의 부피는?,84cm³,56cm³,63cm³,98cm³
초등학교,6,2,수학,10 : 20 = 15 : (    )에서 빈칸에 들어갈 수는?,30,20,25,35
초등학교,6,3,수학,"밑면 반지름이 8cm, 높이가 20cm인 각뿔의 부피는?",320π/3 cm³,160π/3 cm³,640π/3 cm³,1280π/3 cm³
초등학교,6,1,수학,10 : 5 = 12 : (    )에서 빈칸에 들어갈 수는?,6,3,4,8
초등학교,6,3,수학,0.08 ÷ 0.4 의 결과는?,0.2,0.008,0.08,0.8
초등학교,6,1,수학,"밑면의 반지름이 2cm, 높이가 7.5cm인 원기둥의 부피는?",30π cm³,10π cm³,20π cm³,40π cm³
초등학교,6,3,수학,3 : 4 = 6 : (    )에서 빈칸에 들어갈 수는?,8,6,7,9
초등학교,6,2,수학,밑면이 5cm²이고 높이가 6cm인 각기둥이 3개 있다. 이 3개의 각기둥을 모두 합치면 얻어지는 새로운 각기둥의 부피는?,90cm³,60cm³,70cm³,80cm³
초등학교,6,3,수학,7/12 ÷ 5/6 의 결과는?, 7/10, 1/2, 5/7, 6/5
초등학교,6,1,수학,0.5 ÷ 5의 결과는?,0.1,1,10,100
초등학교,6,3,수학,2/3 + 1/4 의 결과는?, 11/12, 1/4, 5/6,2
초등학교,6,2,수학,밑변이 12cm이고 높이가 8cm인 삼각형의 면적은?,48cm²,24cm²,32cm²,64cm²
초등학교,6,1,수학,"A, B, C, D 네 사람의 연령이 3 : 7 : 11 : 15의 비로 나타내어 질 때, B의 연령은 몇 살인가요?",14살,7살,11살,15살
초등학교,6,1,수학,"(3, 4) 좌표는 몇 사분면에 위치하나요?",제 1사분면,제 2사분면,제 3사분면,제 4사분면
초등학교,6,3,수학,0.75 - 0.25 의 결과는?,0.5,0.25,0.75,1
초등학교,6,2,수학,"윗변이 5cm, 아랫면이 10cm, 높이가 8cm인 사다리꼴의 면적은?",60cm²,24cm²,40cm²,80cm²
초등학교,6,2,수학,15 : 25 = 18 : (    )에서 빈칸에 들어갈 수는?,30,20,25,35
초등학교,6,3,수학,원주율인 파이(π)의 근사값은 얼마인가요?,3.14,2.1,3.4,4
초등학교,6,1,수학,0.1 × 0.2 의 결과는?,0.02,0.04,0.2,2
초등학교,6,1,수학,반지름이 6cm인 원의 둘레는?,12π cm,6π cm ,18π cm ,24π cm
초등학교,6,3,수학,"밑면의 변의 길이가 각각 4cm, 6cm인 사각기둥의 높이가 5cm일 때, 부피는?",80cm³,100cm³,120cm³,150cm³
초등학교,6,2,수학,2 : 3 = (    ) : 18에서 빈칸에 들어갈 수는?,12,6,9,15
초등학교,6,3,수학,"한 변이 5cm, 8cm, 10cm인 삼각형의 둘레는?",23cm,15cm,20cm,26cm
초등학교,6,1,수학,3/4 - 1/3의 결과는?, 5/12, 1/12, 1/4, 3/4
초등학교,6,3,수학,밑변이 10cm이고 높이가 8cm인 삼각형의 높이는?,8cm,6cm,10cm,12cm
초등학교,6,2,수학,2 : 5 = 6 : (    )에서 빈칸에 들어갈 수는?,15,8,10,12
초등학교,6,3,수학,"가로가 6cm, 세로가 5cm, 높이가 4cm인 직육면체의 부피는?",120cm³,90cm³,100cm³,150cm³
초등학교,6,1,수학,"12명의 학생 중 여학생이 3명이면, 남학생은 몇 명인가요?",9명,6명,10명,12명
초등학교,6,3,수학,반지름이 5cm인 원의 면적은?,25π cm²,5π cm²,10π cm² ,20π cm²
초등학교,6,2,수학,0.6 × 0.75 의 결과는?,0.45,0.5,1,1.35
초등학교,6,1,수학,한 변의 길이가 8cm인 정사각형의 대각선의 길이는?,. 8√2 cm,8cm,16cm,16√2 cm
초등학교,6,3,수학,7 : 8 = (    ) : 48,42,35,56,64
초등학교,6,2,수학,"한 변의 길이가 5cm, 8cm, 10cm인 삼각형의 가장 큰 각도는 몇 도인가요?",90도,60도 ,120도,150도
초등학교,6,1,수학,0.3 × 0.2 × 0.5의 결과는?,0.03,0.003,0.3,3
초등학교,6,1,수학,6 : 10 = (    ) : 50에서 빈칸에 들어갈 수는?,30,24,36,42
초등학교,6,3,수학,반지름이 6cm인 원에서 중심각이 60도인 호의 길이는?,. 6π cm,3π cm ,9π cm,12π cm
초등학교,6,3,수학,3/5 × 1/4의 결과는?, 3/20, 1/10, 2/5, 3/4
초등학교,6,1,수학,"4x + 7 < 3x + 11 인 경우, x의 값은?",4,1,2,3
초등학교,6,1,수학,"한 변의 길이가 5cm, 8cm, 10cm인 삼각형의 다른 두 변의 길이의 합은 몇 cm인가요?",13cm,8cm,10cm,18cm
초등학교,6,2,수학,10 : 12 = (    ) : 16에서 빈칸에 들어갈 수는?,13⅓,10⅔,11⅓,12⅓
초등학교,6,3,수학,"AB의 중점을 O라고 할 때, AO의 길이는 BO의 길이와 같을까요? 다르다면 어느 쪽이 더 길까요?",같다,다르다.AQ가 더 길다,다르다. BO가 더 길다.,모른다.
초등학교,6,1,수학,한 변이 8cm인 정사각형의 넓이를 구하세요.,64cm²,32cm²,48cm²,56cm²
초등학교,6,3,수학,"6, 11, 14 세 수의 합과 차를 각각 구하세요.","합은 31, 차는 8","합은 29, 차는 5","합은 33, 차는 12","합은 35, 차는 13"
초등학교,6,1,수학,85 - 46 + 12의 결과를 구하세요.,51,38,62,69
초등학교,6,2,수학,1km는 몇 cm인가요?,"100,000cm","10,000cm","1,000,000cm ","10,000,000cm"
초등학교,6,3,수학,"빗변이 5cm이고, 한 직각변이 3cm인 직각삼각형에서 나머지 직각변의 길이를 구하세요.",4cm,3cm,6cm,7cm
초등학교,6,2,수학,"24와 16 중 큰 수는 무엇이고, 두 수는 같은 수의 배수일까요?","24이며, 아니요","16이며, 예","16이며, 아니요 ","24이며, 예"
초등학교,6,1,수학,2부터 10 사이에 속하는 소수를 모두 구하세요.,"2, 3, 5, 7","2, 3, 4, 5","3, 5, 7, 9","2, 4, 6, 8"
초등학교,6,3,수학,"다음 데이터의 평균을 구하세요. 10,12, 15, 16, 19",14.4,12.4,13.8,14.2
초등학교,6,1,수학,"밑변이 7cm, 높이가 5cm인 삼각형의 둘레와 면적을 구하세요.","둘레는 21cm, 면적은 17.5cm²","둘레는 18cm, 면적은 12cm²","둘레는 20cm, 면적은 17.5cm² ","둘레는 23cm, 면적은 21cm²"
초등학교,6,2,수학,3x + 10 = 25 해를 구하세요.,5,2,3,7
초등학교,6,3,수학,12와 16의 최소 공배수를 구하세요.,48,24,32,64
초등학교,6,2,수학,15와 30의 최대공약수를 구하세요.,15,1,5,10
초등학교,6,1,수학,"원주율 π의 근사값을 구하세요. (단, 소수점 이하 2자리까지 표시)",3.14,3.12,3.16,3.18
초등학교,6,3,수학,한 변이 9cm인 정사각형에서 한 변을 3cm 씩 늘리면 넓이는 얼마인가요?,144cm²,100cm²,121cm²,132cm²
초등학교,6,2,수학,"좌표 (3,4)와 (7,8)을 지나는 직선의 기울기를 구하세요.",기울기가 1,기울기가 1/4,기울기가 1/2,기울기가 2
초등학교,6,1,수학,"π의 값이 약 3.14일 때, 다음의 식을 계산하세요: 4 × π × 25",약 314,약 157,약 785,약 942
초등학교,6,3,수학,한 종류의 사탕이 6개씩 들어있는 상자가 4개 있습니다. 다른 종류의 사탕이 5개씩 들어있는 상자가 3개 있습니다. 이때 두 종류의 사탕을 섞어 평균적으로 한 상자 당 몇 개씩 들어갈 수 있습니까?,5개,4개,6개,7개
초등학교,6,1,수학,밑변이 8cm이고 높이가 6cm인 삼각형의 면적을 구하세요.,24cm²,16cm²,20cm²,28cm²
초등학교,6,1,수학,2부터 20 사이에 속하는 소수를 모두 고르세요.,"2, 3, 5, 7, 11, 13, 17, 19","2, 3, 4, 7, 11, 13, 17, 19","2, 3, 5, 7, 11, 13, 16, 19","2, 4, 6, 8, 10, 12, 14, 16"
초등학교,6,3,수학,"3, 4, 5, 6, 8, 10, 12, 15, ? 보기에서 물음표에 들어갈 수는 무엇입니까?",18,16,20,22
초등학교,6,2,수학,10부터 20까지에 속하는 소수를 모두 고르세요.,"11, 13, 17, 19","11, 12, 14, 16","11, 13, 15, 17","12, 14, 16, 18"
초등학교,6,1,수학,다음 식의 값을 구하세요. 3 × (4/5) ÷ (6/7) + 2,약 4.4,약 3.7,약 4.0,약 5.0
초등학교,6,3,수학,"15, 18, 21의 평균을 구하세요.",18,12,16,20
초등학교,6,1,수학,2/7 + 3/7의 값을 구하세요., 5/7, 2/7, 3/7, 6/7
초등학교,6,3,수학,"주사위를 던졌을 때, 홀수가 나올 확률은 얼마인가요?", 1/2, 1/3, 2/3, 3/4
초등학교,6,1,수학,"흰 공 3개와 검은 공 1개가 들어있는 주머니에서 공을 한 개 뽑았을 때, 흰 공일 확률은 얼마인가요?", 3/4, 1/4, 1/3, 2/3
초등학교,6,3,수학,10cm은 몇 mm인가요?,100mm,10mm,1000mm,1cm
초등학교,6,1,수학,자동차가 80km/h의 속도로 4시간을 달렸습니다. 이동한 거리는 얼마인가요?,320km,240km,280km,400km
초등학교,6,1,수학,"서로 다른 3개의 숫자를 뽑았을 때, 그 중 2의 배수가 아닌 수를 뽑을 확률은 얼마인가요?", 1/2, 1/3, 2/3, 3/4
초등학교,6,3,수학,1/3 - 1/9의 값을 구하세요., 2/9, 1/9, 1/3, 2/3
초등학교,6,1,수학,(1/4) ÷ (2/3)의 값을 구하세요., 3/8, 1/6, 1/2, 3/4
