학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
초등학교,5,3,수학,1. 4/3을 약분하면?,4/3,3/2,8/6,5/4
초등학교,5,2,수학,2. 3의 약수 중 홀수의 개수는?,1,2,3,0
초등학교,5,1,수학,3. 2 + 3 + 6 의 결과는?,11,9,12,10
초등학교,5,2,수학,4. 6의 약수 중 홀수의 개수는?,0,1,2,3
초등학교,5,3,수학,5. 2/6을 약분하면?,1/3,3/5,2/5,1/2
초등학교,5,2,수학,6. 10/5을 약분하면?,2/1,3/2,2/5,5/3
초등학교,5,3,수학,7. 3의 약수 중 홀수의 개수는?,1,0,3,2
초등학교,5,1,수학,8. 5의 약수 중 홀수의 개수는?,1,2,0,3
초등학교,5,3,수학,9. 3/7 + 1/6 의 결과를 기약 분수로 나타내시오.,25/42,4/7,3/7,2/5
초등학교,5,3,수학,10. 6의 약수 중 홀수의 개수는?,0,1,2,3
초등학교,5,3,수학,11. 2의 약수 중 홀수의 개수는?,0,1,2,3
초등학교,5,3,수학,12. 1/8을 약분하면?,1/8,2/16,3/24,5/40
초등학교,5,1,수학,13. 3의 약수 중 홀수의 개수는?,1,0,3,2
초등학교,5,3,수학,14. 3/6 + 1/9 의 결과를 기약 분수로 나타내시오.,11/18,5/9,3/4,2/5
초등학교,5,3,수학,15. 6의 약수 중 홀수의 개수는?,0,1,2,3
초등학교,5,1,수학,16. 2 + 1 + 8 의 결과는?,11,10,12,9
초등학교,5,1,수학,17. 2/10 - 2/9 의 결과를 기약 분수로 나타내시오.,-1/45,-1/30,-2/15,-1/15
초등학교,5,2,수학,18. 8/8을 약분하면?,1/1,2/2,3/3,4/4
초등학교,5,1,수학,19. 1/10 - 5/9 의 결과를 기약 분수로 나타내시오.,-41/90,-23/45,-3/10,-4/9
초등학교,5,3,수학,20. 4 + 9 * 4 의 결과는?,40,25,49,36
초등학교,5,3,수학,21. 6 + 1 - 10 의 결과는?,-3,-5,-4,-2
초등학교,5,3,수학,22. 8 + 6 * 3 의 결과는?,26,36,24,48
초등학교,5,1,수학,23. 2/4 + 2/4 의 결과를 기약 분수로 나타내시오.,1/1,1/2,2/3,3/4
초등학교,5,2,수학,24. 2/2 - 3/6 의 결과를 기약 분수로 나타내시오.,1/2,1/3,2/3,1/6
초등학교,5,2,수학,25. 1/10 - 2/9 의 결과를 기약 분수로 나타내시오.,-11/90,-1/90,-13/90,-2/45
초등학교,5,1,수학,26. 9의 약수 중 홀수의 개수는?,1,2,0,3
초등학교,5,3,수학,27. 2/3 - 3/8 의 결과를 기약 분수로 나타내시오.,7/24,11/24,5/12,3/8
초등학교,5,1,수학,28. 9의 약수 중 홀수의 개수는?,1,2,0,3
초등학교,5,2,수학,29. 4/6을 약분하면?,2/3,1/2,5/7,3/4
초등학교,5,1,수학,30. 10 + 6 - 8 의 결과는?,8,5,6,4
초등학교,5,1,수학,31. 8/4을 약분하면?,2/1,4/2,6/3,8/4
초등학교,5,3,수학,32. 5/8 + 3/8 의 결과를 기약 분수로 나타내시오.,1,8/8,1/2,3/4
초등학교,5,3,수학,33. 3/4 - 4/8 의 결과를 기약 분수로 나타내시오.,1/4,3/8,1/2,5/8
초등학교,5,1,수학,34. 2의 약수 중 홀수의 개수는?,0,1,2,3
초등학교,5,3,수학,35. 8/7을 약분하면?,8/7,16/14,4/3,12/9
초등학교,5,3,수학,36. 4/2 - 4/7 의 결과를 기약 분수로 나타내시오.,10/7,6/3,1/2,2/1
초등학교,5,2,수학,37. 9/5을 약분하면?,9/5,18/10,27/15,36/20
초등학교,5,2,수학,38. 6/2을 약분하면?,3/1,2/1,4/2,6/3
초등학교,5,2,수학,39. 2/9을 약분하면?,2/9,4/18,3/15,1/3
초등학교,5,2,수학,40. 8의 약수 중 홀수의 개수는?,0,2,3,1
초등학교,5,1,수학,41. 4/3 + 4/4 의 결과를 기약 분수로 나타내시오.,7/3,4/2,5/3,6/4
초등학교,5,3,수학,42. 7 + 7 + 6 의 결과는?,20,14,18,13
